#Ly;MeshElem;CompLy;Diap
ГОСТ 7727-81;Al;Сплавы Алюминивые. Методы спектрального анализа.
Be:
II 313,1;;I 305,01;0,0005-0,02
II 313,04;V;I 305,01;0,0005-0,02
I 265,05;;I 265,25;0,02-0,9
B:
I 249,68;;I 266,92;0,01-0,05
I 249,77;Fe;I 266,92;0,01-0,05
V:
II 311,07;;I 305,01;0,05-0,3
II 310,23;;I 305,01;0,05-0,3
Fe:
II 259,94;;I 266,04;0,5-2
II 259,64;;I 265,25;0,5-2
II 275,57;;I 266,04;0,5-2
II 275,33;;I 265,25;0,5-2
Cd:
I 346,77;;I 305,01;0,05-0,5
I 346,62;;I 305,99;0,05-0,5
I 340,36;;I 305,01;0,05-0,5
I 228,8;;I 226,34;0,2-0,5
Ca:
II 393,37;;I 305,01;0,01-0,1
II 396,85;;I 305,01;0,01-0,1
II 317,93;;I 305,01;0,01-0,1
II 315,89;;I 305,01;0,1-0,5
Si:
I 288,16;;I 305,99;0,05-0,5
I 288,16;;I 266,91;0,05-0,5
I 250,69;;I 266,91;0,05-0,5
I 250,69;;I 237,84;0,05-0,5
I 288,16;;I 265,25;0,2-3
I 251,61;Ti;I 266,04;0,2-3
I 252,85;;I 265,25;0,2-3
Li:
I 323,26;;I 305,01;0,5-2,5
I 323,26;;I 305,99;0,5-2,5
Mg:
II 279,08;;I 305,01;0,01-0,8
I 285,21;;I 266,04;0,5-5
II 292,87;;I 266,04;0,5-5
II 293,65;;I 265,25;0,5-5
277,98;;I 266,04;0,8-5
I 277,67;;I 266,04;2-15
Mn:
II 294,92;;I 305,01;0,05-1
II 259,27;;I 265,25;0,05-1
II 260,57;;I 265,25;0,1-1,5
293,93;;I 305,01;0,1-1,5
293,31;;I 305,01;0,1-1,5
288,95;;I 305,01;0,3-2
II 267,26;;I 265,25;0,5-2
Cu:
I 327,4;;I 305,01;0,01-1
I 324,75;;I 305,01;0,01-1
II 236,99;;I 237,21;1-10
II 239,44;;I 232,16;2-10
I 282,44;;I 305,01;2-10
I 282,44;;I 366,92;2-10
Ni:
I 341,48;;I 305,99;0,05-0,5
I 313,41;;I 305,99;0,05-0,5
I 310,15;;I 305,01;0,1-0,5
II 251,09;;I 266,04;0,5-2,5
II 241,61;;I 265,25;0,5-2,5
Sn:
I 317,05;;I 305,99;0,01-0,3
I 286,33;;I 266,92;0,01-0,3
As:
I 234,98;;I 231,25;0,002-0,02
I 234,98;;F;0,002-0,02
Pb:
I 283,3;;I 305,99;0,02-0,2
I 283,3;;I 266,92;0,02-0,2
Sc:
II 363,07;;I 305,01;0,02-0,1
II 335,37;;I 305,01;0,02-0,1
II 337,11;;I 305,01;0,1-0,4
Sb:
I 287,79;;I 305,99;0,01-0,05
I 287,79;;I 266,92;0,01-0,05
I 231,15;;I 231,25;0,002-0,05
I 231,15;;F;0,002-0,05
Ti:
II 334,90;;I 305,01;0,02-0,3
II 334,19;;I 305,01;0,02-0,3
II 336,12;;I 305,01;0,05-0,5
II 338,03;;I 305,01;0,1-0,8
Cr:
I 425,43;;I 305,01;
I 283,56;;I 266,04;0,02-0,5
I 283,56;;I 265,25;0,02-0,5
Ce:
II 320,17;;F;0,1-0,5
Zn:
II 334,5;;I 305,99;0,05-0,5
I 330,29;;I 305,99;0,05-0,5
I 334,5;;I 305,01;0,5-5
I 330,29;;I 305,01;2-8
I 328,23;;I 305,01;3-10
II 255,8;;I 266,04;2-3
II 250,2;;I 265,25;2-8
Zr:
II 339,19;;I 305,01;0,03-0,3